910,0.084
910.1,0.308
910.2,0.408
910.3,0.512
910.4,0.628
910.5,0.732
910.6,0.84
910.7,0.952
910.8,1.084
910.9,1.176
911,1.3
911.1,1.416
911.2,1.528
911.3,1.644
911.4,1.712
911.5,1.624
911.6,1.48
911.7,1.28
911.8,1.08
911.9,0.864
912,0.676
912.1,0.524
912.2,0.384
912.3,0.26
912.4,0.172
912.5,0.196
912.6,0.256
912.7,0.372
912.8,0.452
912.9,0.536
913,0.628
913.1,0.712
913.2,0.792
913.3,0.884
913.4,0.976
913.5,1.068
913.6,1.184
913.7,1.304
913.8,1.42
913.9,1.588
914,1.712
914.1,1.536
914.2,1.296
914.3,1.044
914.4,0.828
914.5,0.66
914.6,0.52
914.7,0.384
914.8,0.264
914.9,0.184
915,0.168
