910,0.084
910.1,0.296
910.2,0.408
910.3,0.532
910.4,0.628
910.5,0.74
910.6,0.84
910.7,0.952
910.8,1.06
910.9,1.168
911,1.272
911.1,1.376
911.2,1.496
911.3,1.608
911.4,1.716
911.5,1.644
911.6,1.46
911.7,1.284
911.8,1.092
911.9,0.884
912,0.708
912.1,0.556
912.2,0.412
912.3,0.288
912.4,0.196
912.5,0.164
912.6,0.248
912.7,0.328
912.8,0.408
912.9,0.516
913,0.592
913.1,0.676
913.2,0.752
913.3,0.86
913.4,0.944
913.5,1.036
913.6,1.14
913.7,1.256
913.8,1.388
913.9,1.552
914,1.692
914.1,1.544
914.2,1.28
914.3,1.036
914.4,0.808
914.5,0.64
914.6,0.504
914.7,0.388
914.8,0.276
914.9,0.176
915,0.192
