910,0.076
910.1,0.304
910.2,0.416
910.3,0.516
910.4,0.644
910.5,0.74
910.6,0.856
910.7,0.964
910.8,1.068
910.9,1.168
911,1.284
911.1,1.4
911.2,1.504
911.3,1.644
911.4,1.708
911.5,1.624
911.6,1.48
911.7,1.288
911.8,1.112
911.9,0.924
912,0.76
912.1,0.604
912.2,0.476
912.3,0.336
912.4,0.216
912.5,0.192
912.6,0.208
912.7,0.292
912.8,0.404
912.9,0.492
913,0.584
913.1,0.68
913.2,0.756
913.3,0.852
913.4,0.936
913.5,1.044
913.6,1.156
913.7,1.272
913.8,1.416
913.9,1.592
914,1.716
914.1,1.5
914.2,1.256
914.3,1.04
914.4,0.844
914.5,0.684
914.6,0.548
914.7,0.424
914.8,0.296
914.9,0.228
915,0.172
