910,0.076
910.1,0.288
910.2,0.408
910.3,0.532
910.4,0.652
910.5,0.772
910.6,0.892
910.7,1
910.8,1.108
910.9,1.228
911,1.336
911.1,1.436
911.2,1.524
911.3,1.632
911.4,1.736
911.5,1.636
911.6,1.468
911.7,1.288
911.8,1.076
911.9,0.872
912,0.696
912.1,0.54
912.2,0.396
912.3,0.292
912.4,0.184
912.5,0.192
912.6,0.244
912.7,0.32
912.8,0.44
912.9,0.5
913,0.588
913.1,0.696
913.2,0.764
913.3,0.868
913.4,0.948
913.5,1.056
913.6,1.148
913.7,1.264
913.8,1.372
913.9,1.548
914,1.716
914.1,1.54
914.2,1.288
914.3,1.036
914.4,0.824
914.5,0.652
914.6,0.524
914.7,0.388
914.8,0.26
914.9,0.192
915,0.184
