910,0.072
910.1,0.292
910.2,0.416
910.3,0.528
910.4,0.632
910.5,0.74
910.6,0.852
910.7,0.96
910.8,1.072
910.9,1.168
911,1.284
911.1,1.392
911.2,1.528
911.3,1.62
911.4,1.724
911.5,1.616
911.6,1.472
911.7,1.312
911.8,1.12
911.9,0.936
912,0.768
912.1,0.6
912.2,0.468
912.3,0.36
912.4,0.228
912.5,0.164
912.6,0.216
912.7,0.296
912.8,0.4
912.9,0.488
913,0.572
913.1,0.672
913.2,0.76
913.3,0.848
913.4,0.94
913.5,1.048
913.6,1.156
913.7,1.276
913.8,1.428
913.9,1.588
914,1.696
914.1,1.512
914.2,1.26
914.3,1.032
914.4,0.848
914.5,0.696
914.6,0.552
914.7,0.444
914.8,0.32
914.9,0.204
915,0.188
