910,0.112
910.1,0.32
910.2,0.444
910.3,0.54
910.4,0.644
910.5,0.748
910.6,0.856
910.7,0.964
910.8,1.064
910.9,1.168
911,1.276
911.1,1.388
911.2,1.508
911.3,1.616
911.4,1.724
911.5,1.62
911.6,1.468
911.7,1.276
911.8,1.068
911.9,0.88
912,0.688
912.1,0.532
912.2,0.4
912.3,0.288
912.4,0.196
912.5,0.164
912.6,0.26
912.7,0.344
912.8,0.428
912.9,0.532
913,0.608
913.1,0.708
913.2,0.78
913.3,0.868
913.4,0.964
913.5,1.064
913.6,1.16
913.7,1.288
913.8,1.424
913.9,1.568
914,1.704
914.1,1.544
914.2,1.272
914.3,1.036
914.4,0.824
914.5,0.66
914.6,0.5
914.7,0.388
914.8,0.28
914.9,0.184
915,0.184
